['a', 'lot', 'of', 'positive', 'energy']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
[',', '"', 'Pierre', 'said', ',']	[0.0, 0.0, 0.0, 0.024472823571036702, 0.009696162045088486, 0.12001197899871806, 0.019284188015820186, 0.031760528287758584, 0.4244404086463792, 0.14974575506715526, 0.22058815536804352]
['Youngs', 'came', 'in', 'and', 'demanded']	[0.0, 0.0, 0.0, 0.0, 0.22534833297148477, 0.09961415395305495, 0.29878898488328676, 0.0, 0.0, 0.2900198734734855, 0.086228654718688]
['', 'He', 'had', 'even', 'remarked']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3548910750929844, 0.5579278649210053, 0.0, 0.031315948379100275, 0.05586511160690994]
['in', 'communication', 'with', 'this', 'girl']	[0.0, 0.0, 0.0, 0.0, 0.46420850893880966, 0.273601538063297, 0.0512911083517837, 0.023038649305198628, 0.11103984992262751, 0.06336371184997065, 0.013456633568312722]
['I', "'ve", 'lived', 'in', 'trailers']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
['ring', ',', 'then', 'the', 'second']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6686579198548604, 0.33134208014513955]
["'ll", 'give', 'you', 'is', 'a']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1910783445111248, 0.15349070176893115, 0.07507529135052396, 0.5803556623694202]
['of', 'human', 'faculties', 'and']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5682071134593503, 0.0, 0.16401447770313585, 0.1604453502050424, 0.10733305863247138]
['With', 'trembling', 'fingers', 'he', 'pulled']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3441569848687211, 0.20611531147384615, 0.2483545470659069, 0.08098336365794749, 0.12038979293357831]
['was', 'too', 'weak', '-', 'minded']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33197786883844793, 0.2982318746087401, 0.1597104749212586, 0.11717625528705862, 0.0929035263444947]
['saying', ':', '"', 'What', ',']	[0.0, 0.0, 0.0, 0.0, 0.0664017138113056, 0.02935256034568973, 0.04402096168756894, 0.41523480678706254, 0.3017857012321729, 0.08545799467003067, 0.05774626146616971]
['up', 'in', 'the', 'bush', '.']	[0.0, 0.0, 0.2152959837298486, 0.18999589294428174, 0.043015200351679626, 0.057043991410789696, 0.05703378355701387, 0.08325886270474972, 0.09774877527004304, 0.1660797237627139, 0.0905277862688798]
['if', 'need', 'were', ',', 'for']	[0.0, 0.0, 0.0, 0.11540653065049572, 0.36579364665481473, 0.16169733386726642, 0.15156412369403044, 0.05446297115028253, 0.06562407438424726, 0.0695456943145376, 0.01590562528432525]
['-', 'filled', 'well', '.', '']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17147378140014177, 0.629033743537689, 0.1994924750621693]
['nights', 'when', 'they', 'used']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.29744648164470194, 0.13360532454626078, 0.0, 0.20997583356617064, 0.3589723602428667]
